No,Lantai,Pos,Tema,Materi,Pertanyaan,,Kategori Pilar,Bentuk Pertanyaan,Skornya berapa?,Catatan
1,1,1,Anti Korupsi dan Terorisme,"Integritas dalam Pengelolaan
Dana Kegiatan","Panitia sebuah festival mahasiswa mendapatkan dana kegiatan sebesar Rp25 juta dari kampus dan sponsor. Setelah acara selesai, bendahara menemukan bahwa terdapat sisa dana Rp2 juta. Ketua panitia mengusulkan agar uang tersebut dibagi kepada pengurus inti sebagai “bonus karena sudah bekerja keras”. Ia berpendapat bahwa tidak ada pihak yang akan dirugikan karena seluruh rangkaian acara sudah selesai.

Jika kamu menjadi anggota panitia, respons yang paling tepat adalah ...
A. Menyetujui karena uang tersebut merupakan hasil kerja keras panitia
B. Membagi uang hanya kepada panitia yang memiliki tanggung jawab paling besar
C. Menggunakan uang tersebut untuk acara makan bersama agar tidak perlu dimasukkan ke laporan
D. Memastikan penggunaan sisa dana mengikuti ketentuan anggaran dan mempertanggungjawabkannya secara transparan
E. Membiarkan ketua mengambil keputusan karena ia memiliki tanggung jawab terbesar

JAWABAN : D",,"Pilar 1, Pilar 4",Pilihan Ganda,13,Satu Pos
2,1,1,Anti Korupsi dan Terorisme,"Terorisme dan Intoleransi di
Lingkungan Kampus","Sebuah diskusi mahasiswa mengenai konflik sosial berlangsung di kampus. Salah satu peserta menyampaikan pendapat yang sangat keras dan menyebut kelompok tertentu sebagai “ancaman bagi masyarakat”. Beberapa peserta kemudian mulai menganggap kekerasan terhadap kelompok tersebut sebagai sesuatu yang dapat dibenarkan.

Sebagai mahasiswa yang berada dalam forum tersebut, tindakan yang paling tepat adalah ...
A. Membiarkan diskusi berlangsung karena setiap orang memiliki kebebasan berpendapat
B. Mengkritisi narasi yang membenarkan kekerasan, mengarahkan diskusi pada fakta dan dialog yang konstruktif
C. Menghentikan seluruh diskusi mengenai konflik sosial agar tidak menimbulkan masalah
D. Membalas pernyataan tersebut dengan menyudutkan kelompok yang berbeda
E. Mengunggah rekaman diskusi ke media sosial agar masyarakat dapat memberikan penilaian

JAWABAN : B",,"Pilar 1, Pilar 4",Pilihan Ganda,12,
3,1,1,Anti Korupsi dan Terorisme,"Gratifikasi dan Konflik
Kepentingan","Seorang mahasiswa menjadi panitia seleksi peserta untuk mengikuti program pertukaran mahasiswa. Sehari sebelum seleksi, salah satu peserta memberikan kepadanya hadiah dengan mengatakan, “Ini cuma tanda terima kasih, tidak ada hubungannya dengan seleksi.”
Mahasiswa tersebut kemudian merasa tidak enak jika harus memberikan penilaian yang rendah kepada peserta tersebut.

Situasi tersebut menunjukkan bahwa pemberian hadiah dapat menjadi masalah karena ...
A. Semua hadiah kepada mahasiswa merupakan bentuk korupsi
B. Hadiah tersebut dapat menimbulkan rasa sungkan dan memengaruhi objektivitas dalam pengambilan keputusan
C. Peserta tidak boleh memberikan hadiah kepada siapa pun
D. Panitia seleksi tidak boleh berinteraksi dengan peserta
E. Hadiah hanya boleh diberikan setelah pengumuman hasil seleksi

JAWABAN : B",,"Pilar 1, Pilar 4",Pilihan Ganda,13,
4,1,1,Anti Korupsi dan Terorisme,"Etika Bermedia Sosial dan
Pencegahan Terorisme","Sebuah unggahan tentang konflik sosial menjadi viral di kalangan mahasiswa. Banyak komentar berisi informasi yang belum terverifikasi dan beberapa di antaranya mengajak pengguna untuk melakukan tindakan kekerasan. Seorang mahasiswa kemudian ingin membagikan unggahan tersebut karena menurutnya semakin banyak orang yang melihat, semakin cepat masalah tersebut diketahui.

Apa yang seharusnya menjadi pertimbangan utama sebelum mahasiswa tersebut membagikannya?
A. Memeriksa popularitas unggahan dan melihat respons pengguna terhadap informasi tersebut.
B. Memeriksa kesesuaian isi unggahan dengan pandangan pribadi terhadap konflik tersebut.
C. Memeriksa kebenaran informasi dan mempertimbangkan dampak dari penyebarannya.
D. Memeriksa banyaknya akun yang membagikan dan mendukung informasi tersebut.
E. Memeriksa kredibilitas akun dan sumber yang digunakan dalam unggahan tersebut.

JAWABAN : C",,"Pilar 1, Pilar 4",Pilihan Ganda,12,
5,1,1,Anti Korupsi dan Terorisme,"Whistleblowing dan Keberanian
Melaporkan Korupsi","Seorang mahasiswa menemukan bukti bahwa sebagian dana kegiatan organisasi digunakan untuk kepentingan pribadi salah satu pengurus. Ia ingin melaporkan hal tersebut, tetapi beberapa temannya memperingatkan bahwa tindakan tersebut dapat membuatnya dikucilkan karena pengurus yang terlibat cukup berpengaruh.

Sikap yang paling tepat adalah ...
A. Mengabaikannya agar hubungan pertemanan tetap baik
B. Menyebarkan bukti tersebut ke media sosial tanpa melakukan klarifikasi
C. Menghilangkan bukti agar masalah tidak semakin besar
D. Menggunakan mekanisme pelaporan dan menyampaikan informasi secara bertanggung jawab
E. Menghadapi pengurus tersebut secara langsung dan mengancam akan membongkar

JAWABAN : D",,"Pilar 1, Pilar 4",Pilihan Ganda,13,
,,1,Anti Korupsi dan Terorisme,"Integritas Akademik dan
Kejujuran","Seorang mahasiswa mendapat tugas membuat laporan penelitian kelompok. Saat mengumpulkan data, hasil yang diperoleh ternyata berbeda dengan penelitian terdahulu. Salah satu anggota kelompok mengusulkan untuk menyesuaikan beberapa data agar hasil penelitian terlihat lebih sesuai dengan teori yang digunakan.

Apa tindakan yang paling tepat dilakukan kelompok tersebut?
A. Menyesuaikan data agar hasil penelitian lebih mudah diterima
B. Menggunakan data yang sesuai dengan teori dan mengabaikan sisanya
C. Menyajikan data sesuai hasil penelitian dan membahas perbedaannya
D. Mengubah sebagian data selama kesimpulannya tidak berubah
E. Mengikuti hasil penelitian terdahulu agar laporan lebih meyakinkan

JAWABAN: C",,"Pilar 1, Pilar 4",Pilihan Ganda,12,
,,1,Anti Korupsi dan Terorisme,"Penyalahgunaan Wewenang
dalam Organisasi","Ketua sebuah organisasi mahasiswa memiliki akses terhadap fasilitas kampus untuk mendukung kegiatan organisasi. Suatu hari, ia menggunakan fasilitas tersebut untuk membantu kegiatan pribadi temannya di luar program organisasi. Ketika ditanya oleh anggota lain, ia mengatakan bahwa fasilitas tersebut juga digunakan mahasiswa sehingga tidak menjadi masalah.

Apa yang menjadi permasalahan utama dalam kasus tersebut?
A. Penggunaan fasilitas untuk kegiatan mahasiswa di luar organisasi
B. Penggunaan fasilitas berdasarkan hubungan pribadi dengan mahasiswa lain
C. Pemanfaatan wewenang organisasi untuk kepentingan di luar tanggung jawabnya
D. Kurangnya koordinasi antara ketua dengan anggota organisasi
E. Ketidaksesuaian penggunaan fasilitas dengan kegiatan mahasiswa

JAWABAN: C",,"Pilar 1, Pilar 4",Pilihan Ganda,13,
,,1,Anti Korupsi dan Terorisme,"Transparansi dalam Pengambilan
Keputusan","Dalam sebuah organisasi mahasiswa, pengurus inti memutuskan penggunaan dana untuk membeli perlengkapan kegiatan. Keputusan tersebut dibuat tanpa melibatkan anggota lain karena dianggap lebih cepat. Setelah pembelian dilakukan, beberapa anggota mempertanyakan harga barang yang ternyata lebih tinggi dari perkiraan awal.

Langkah yang paling tepat untuk mencegah masalah serupa adalah ...
A. Membatasi pengambilan keputusan hanya pada pengurus inti
B. Membuat proses pengambilan keputusan dan penggunaan dana lebih terbuka
C. Mengutamakan keputusan yang paling cepat untuk setiap kegiatan
D. Menyerahkan seluruh keputusan kepada bendahara organisasi
E. Menghindari pembelian barang dengan harga yang tinggi

JAWABAN: B",,"Pilar 1, Pilar 4",Pilihan Ganda,12,
,,,,,,,,,Total: 100,
1,2,2,Leadership,,Kartu 1,Kartu 2 ( Pasangan kartu 1 ),Pilar 2,Memorize,,Dua Pos
,2,2,Leadership,Karakter Dasar,Integritas,Jujur dan konsisten antara perkataan dan perbuatan,Pilar 2,Memorize,15,
2,2,2,Leadership,Manajemen Tugas,Delegasi ,Breakdown tugas menjadi bagian-bagian kecil & bagi peran sesuai keahlian,Pilar 2,Memorize,20,
3,2,2,Leadership,Penanganan Anggota,"Ada anggota kelompok yang sukanya cuma ""numpang nama"" tapi ilang-ilangan","Kasih deadline & tenggat tegas, kalau tetep ghosting baru lapor dosen.",Pilar 2,Memorize,25,
4,2,2,Leadership,Perencanaan,Visioner ,Punya Pandangan Jauh Kedepan Untuk Organisasi,Pilar 2,Memorize,15,
5,2,2,Leadership,Pengambilan Keputusan,Problem Solving,"Rundown acara mendadak berantakan karena mati listrik di tengah-tengah acara.Tetap tenang, alihkan ke sesi ice breaking manual sambil tim teknis backup",Pilar 2,Memorize,25,
,,,,,,,,,Total: 100,
1,2,6,Media Sosial dan Komunikasi,Etika Bermedia Sosial,Istilah untuk perilaku tidak sopan/menyerang orang lain secara online disebut apa? Jawaban: Cyberbulliying,,"Pilar 3,4,5",Jawaban Singkat,13,
2,2,6,Media Sosial dan Komunikasi,Jejak Digital,Semua rekam jejak aktivitas kita di internet yang tidak bisa dihapus sepenuhnya disebut? Jawaban: Jejak Digital,,"Pilar 3,4,5",Jawaban Singkat,12,
3,2,6,Media Sosial dan Komunikasi,Hoaks & Misinformasi,"Sebelum membagikan berita, langkah penting yang harus dilakukan agar tidak menyebarkan hoaks adalah? Jawaban: Cek Fakta",,"Pilar 3,4,5",Jawaban Singkat,13,
4,2,6,Media Sosial dan Komunikasi,Netiket (Netiquette),Istilah untuk aturan/tata krama berkomunikasi di dunia maya disebut? Jawaban: Netiket,,"Pilar 3,4,5",Jawaban Singkat,12,
5,2,6,Media Sosial dan Komunikasi,Komunikasi Efektif,"Dalam komunikasi, pesan yang disampaikan harus jelas, singkat, dan tidak bertele-tele ini disebut prinsip? Jawaban: Konkret",,"Pilar 3,4,5",Jawaban Singkat,13,
6,2,6,Media Sosial dan Komunikasi,Privasi Online,Fitur di media sosial yang membatasi siapa saja yang bisa melihat postingan kita disebut? Jawaban: Pengaturan Privasi,,"Pilar 3,4,5",Jawaban Singkat,12,
7,2,6,Media Sosial dan Komunikasi,Personal Branding,Upaya membangun citra diri yang positif dan konsisten di media sosial disebut? Jawaban: Personal Branding,,"Pilar 3,4,5",Jawaban Singkat,13,
8,2,6,Media Sosial dan Komunikasi,Klarifikasi Publik,"Saat organisasi terkena isu negatif di media sosial, langkah resmi untuk meluruskan informasi disebut? Jawaban: Klarifikasi",,"Pilar 3,4,5",Jawaban Singkat,12,
,,,,,,,,,Total: 100,
1,3,3,Profil Pelajar Pancasila,Sikap mandiri,Menolak kerja kelompok karena merasa mampu mengerjakan semuanya sendiri menunjukkan sikap mandiri.  Jawaban: Salah,,Pilar 1 ,Benar/Salah,15,Satu Pos
2,3,3,Profil Pelajar Pancasila,Berkebhinekaan Global,Mengikuti budaya asing tanpa mempertimbangkan kesesuaiannya dengan nilai yang diyakini merupakan bentuk berkebhinnekaan global. Jawaban: Salah,,Pilar 1 ,Benar/Salah,20,
3,3,3,Profil Pelajar Pancasila,"Perwujudan karakter beriman, bertakwa kepada Tuhan Yang Maha Esa, berakhlak mulia, ",Menjalankan ibadah dengan baik tetapi merendahkan pemeluk agama lain bertentangan dengan karakter berakhlak mulia. Jawaban: Benar,,Pilar 1,Benar/Salah,20,
4,3,3,Profil Pelajar Pancasila, Bernalar kritis,Menerima kritik tanpa mengevaluasi kebenarannya bukan merupakan bentuk berpikir kritis. Jawaban: Benar,,Pilar 1,Benar/Salah,20,
5,3,3,Profil Pelajar Pancasila,Gotong Royong dan Kreatif,"Kelompok yang membagi tugas secara adil tetapi menggunakan cara lama tanpa mencoba memperbaikinya sudah menunjukkan gotong royong, tetapi belum tentu menunjukkan kreativitas. Jawaban benar",,Pilar 1,Benar/Salah,25,
,,,,,,,,,Total: 100,
1,4,4,Anti Narkoba,Pengertian dan Jenis Narkoba,Posisi: MENDATAR Zat yang dapat menyebabkan ketergantungan dan merusak sistem saraf? jawaban: NARKOBA,,Pilar 4,Teka-teki silang,20,Dua Pos
2,4,4,Anti Narkoba,Dampak Kecanduan (Adiksi) Zat,Posisi: MENDATAR Kondisi tubuh yang bergantung terus-menerus pada suatu zat. Jawaban: KETAGIHAN,,Pilar 4,Teka-teki silang,20,
3,4,4,Anti Narkoba,Pola Hidup Bebas Narkoba,"Posisi: MENURUN. Lawan kata ""kecanduan"", kondisi bebas dari pengaruh zat terlarang. jawaban: BEBAS",,Pilar 4,Teka-teki silang,20,
4,4,4,Anti Narkoba,Rehabilitasi Pengguna Narkoba,Posisi: MENDATAR. Tempat rehabilitasi bagi pengguna narkoba biasa disebut panti? Jawaban: REHAB,,Pilar 4,Teka-teki silang,20,
5,4,4,Anti Narkoba,Keterampilan Menolak Ajakan Narkoba,Posisi: MENURUN. Sikap menolak dengan tegas terhadap penyalahgunaan narkoba?. Jawaban: TOLAK,,Pilar 4,Teka-teki silang,20,
